VI,CBB Reference,SBR 1,SBR 2,SBR 3,SBR 4,NC,Massey,Team Link,Ret Min,Schedule
Mississippi State Bulldogs,Mississippi State,MississippiSt,,,,Mississippi State,Mississippi St,mississippi-state,Mississippi St.,Mississippi St.
Mississippi Valley State Delta Devils,Mississippi Valley State,MissValleySt,,,,Mississippi Valley State,MS Valley St,mississippi-valley-state,Mississippi Valley St.,Mississippi Valley St.
Missouri State Bears,Missouri State,MissouriSt,,,,Missouri State,Missouri St,missouri-state,Missouri St.,Missouri St.
Missouri Tigers,Missouri,Missouri,,,,Missouri,Missouri,missouri,Missouri,Missouri
Missouri-Kansas City Kangaroos,UMKC,MoKansasCity,UMKC,,,Missouri-Kansas City,Missouri KC,missouri-kansas-city,UMKC,UMKC
Monmouth-New Jersey Hawks,Monmouth,Monmouth,,,,Monmouth,Monmouth NJ,monmouth,Monmouth,Monmouth
Montana Grizzlies,Montana,Montana,,,,Montana,Montana,montana,Montana,Montana
Montana State Bobcats,Montana State,MontanaState,,,,Montana State,Montana St,montana-state,Montana St.,Montana St.
Morehead State Eagles,Morehead State,MoreheadState,,,,Morehead State,Morehead St,morehead-state,Morehead St.,Morehead St.
Morgan State Bears,Morgan State,MorganState,,,,Morgan State,Morgan St,morgan-state,Morgan St.,Morgan St.
Mount Saint Marys Mountaineers,Mount St. Mary's,MountStMarys,,,,Mount St. Mary's,Mt St Mary's,mount-st-marys,Mount St. Mary's,Mount St. Mary's
Murray State Racers,Murray State,MurrayState,,,,Murray State,Murray St,murray-state,Murray St.,Murray St.
Navy Midshipmen,Navy,Navy,,,,Navy,Navy,navy,Navy,Navy
Nebraska Cornhuskers,Nebraska,Nebraska,,,,Nebraska,Nebraska,nebraska,Nebraska,Nebraska
Nebraska-Omaha Mavericks,Omaha,NebraskaOmaha,,,,Omaha,NE Omaha,nebraska-omaha,Nebraska Omaha,Omaha
Nevada Wolf Pack,Nevada,Nevada,,,,Nevada,Nevada,nevada,Nevada,Nevada
New Hampshire Wildcats,New Hampshire,NewHampshire,,,,New Hampshire,New Hampshire,new-hampshire,New Hampshire,New Hampshire
New Jersey Tech Highlanders,NJIT,NJIT,,,,NJIT,NJIT,njit,NJIT,NJIT
New Mexico Lobos,New Mexico,NewMexico,,,,New Mexico,New Mexico,new-mexico,New Mexico,New Mexico
New Mexico State Aggies,New Mexico State,NewMexicoState,,,,New Mexico State,New Mexico St,new-mexico-state,New Mexico St.,New Mexico St.
New Orleans Privateers,New Orleans,NewOrleansU,,,,New Orleans,New Orleans,new-orleans,New Orleans,New Orleans
Niagara Purple Eagles,Niagara,Niagara,,,,Niagara,Niagara,niagara,Niagara,Niagara
Nicholls State Colonels,Nicholls State,NichollsState,,,,Nicholls State,Nicholls St,nicholls-state,Nicholls St.,Nicholls
Norfolk State Spartans,Norfolk State,NorfolkSt,,,,Norfolk State,Norfolk St,norfolk-state,Norfolk St.,Norfolk St.
North Alabama Lions,North Alabama,,,,,North Alabama,North Alabama,north-alabama,North Alabama,North Alabama
North Carolina A&T Aggies,North Carolina A&T,N.CarolinaA&T,,,,North Carolina A&T,NC A&T,north-carolina-at,North Carolina A&T,North Carolina A&T
North Carolina Central Eagles,North Carolina Central,NCCentral,,,,North Carolina Central,NC Central,north-carolina,North Carolina,North Carolina
North Carolina State Wolfpack,NC State,NCState,,,,North Carolina State,NC State,north-carolina-state,North Carolina St.,NC State
North Carolina Tar Heels,UNC,NorthCarolina,,,,North Carolina,North Carolina,north-carolina-central,North Carolina Central,NC Central
North Carolina-Asheville Bulldogs,UNC Asheville,NCAsheville,,,,North Carolina-Asheville,UNC Asheville,north-carolina-asheville,UNC Asheville,UNC Asheville
North Carolina-Charlotte 49ers,Charlotte,CharlotteU,,,,Charlotte,Charlotte,charlotte,Charlotte,Charlotte
North Carolina-Greensboro Spartans,UNC Greensboro,NCGreensboro,,,,UNC Greensboro,UNC Greensboro,north-carolina-greensboro,UNC Greensboro,UNC Greensboro
North Carolina-Wilmington Seahawks,UNC Wilmington,NCWilmington,,,,UNC Wilmington,UNC Wilmington,north-carolina-wilmington,UNC Wilmington,UNC Wilmington
North Dakota Fighting Hawks,North Dakota,NorthDakota,,,,North Dakota,North Dakota,north-dakota,North Dakota,North Dakota
North Dakota State Bison,North Dakota State,NDakotaSt,NorthDakotaSt,NorthDakotaState,zzzzNDakotaSt,North Dakota State,N Dakota St,north-dakota-state,North Dakota St.,North Dakota St.
North Florida Ospreys,North Florida,NorthFlorida,,,,North Florida,North Florida,north-florida,North Florida,UNF
North Texas Mean Green Eagles,North Texas,NorthTexas,,,,North Texas,North Texas,north-texas,North Texas,North Texas
Northeastern Huskies,Northeastern,Northeastern,,,,Northeastern,Northeastern,northeastern,Northeastern,Northeastern
Northern Arizona Lumberjacks,Northern Arizona,NorthernArizona,,,,Northern Arizona,Northern Arizona,northern-arizona,Northern Arizona,Northern Arizona
Northern Colorado Bears,Northern Colorado,No.Colorado,,,,Northern Colorado,N Colorado,northern-colorado,Northern Colorado,Northern Colorado
Northern Illinois Huskies,Northern Illinois,NoIllinois,,,,Northern Illinois,N Illinois,northern-illinois,Northern Illinois,Northern Illinois
Northern Iowa Panthers,Northern Iowa,NorthernIowa,,,,Northern Iowa,Northern Iowa,northern-iowa,Northern Iowa,Northern Iowa
Northern Kentucky Norse,Northern Kentucky,NorthernKentucky,,,,Northern Kentucky,N Kentucky,northern-kentucky,Northern Kentucky,Northern Kentucky
Northwestern State Demons,Northwestern State,NorthwesternSt,,,,Northwestern State,Northwestern LA,northwestern-state,Northwestern St.,Northwestern St.
Northwestern Wildcats,Northwestern,Northwestern,,,,Northwestern,Northwestern,northwestern,Northwestern,Northwestern
Notre Dame Fighting Irish,Notre Dame,NotreDame,,,,Notre Dame,Notre Dame,notre-dame,Notre Dame,Notre Dame
Oakland Golden Grizzlies,Oakland,Oakland,,,,Oakland,Oakland,oakland,Oakland,Oakland
Ohio Bobcats,Ohio,Ohio,,,,Ohio,Ohio,ohio,Ohio,Ohio
Ohio State Buckeyes,Ohio State,OhioState,,,,Ohio State,Ohio St,ohio-state,Ohio St.,Ohio St.
Oklahoma Sooners,Oklahoma,Oklahoma,,,,Oklahoma,Oklahoma,oklahoma,Oklahoma,Oklahoma
Oklahoma State Cowboys,Oklahoma State,OklahomaState,,,,Oklahoma State,Oklahoma St,oklahoma-state,Oklahoma St.,Oklahoma St.
Old Dominion Monarchs,Old Dominion,OldDominion,,,,Old Dominion,Old Dominion,old-dominion,Old Dominion,Old Dominion
Oral Roberts Golden Eagles,Oral Roberts,OralRoberts,,,,Oral Roberts,Oral Roberts,oral-roberts,Oral Roberts,Oral Roberts
Oregon Ducks,Oregon,Oregon,,,,Oregon,Oregon,oregon,Oregon,Oregon
Oregon State Beavers,Oregon State,OregonState,,,,Oregon State,Oregon St,oregon-state,Oregon St.,Oregon St.
Pacific Tigers,Pacific,Pacific,,,,Pacific,Pacific,pacific,Pacific,Pacific
Penn State Nittany Lions,Penn State,PennState,,,,Penn State,Penn St,penn-state,Penn St.,Penn St.
Pennsylvania Quakers,Penn,Pennsylvania,,,,Pennsylvania,Penn,pennsylvania,Penn,Penn
Pepperdine Waves,Pepperdine,Pepperdine,,,,Pepperdine,Pepperdine,pepperdine,Pepperdine,Pepperdine
Pittsburgh Panthers,Pitt,Pittsburgh,,,,Pittsburgh,Pittsburgh,pittsburgh,Pittsburgh,Pittsburgh
Portland Pilots,Portland,PortlandU,,,,Portland,Portland,portland,Portland,Portland
Portland State Vikings,Portland State,PortlandState,,,,Portland State,Portland St,portland-state,Portland St.,Portland St.
Prairie View A&M Panthers,Prairie View,PrairieViewA&M,,,,Prairie View,Prairie View,prairie-view,Prairie View A&M,Prairie View A&M
Presbyterian Blue Hose,Presbyterian,Presbyterian,,,,Presbyterian,Presbyterian,presbyterian,Presbyterian,Presbyterian
Princeton Tigers,Princeton,Princeton,,,,Princeton,Princeton,princeton,Princeton,Princeton
Providence Friars,Providence,Providence,,,,Providence,Providence,providence,Providence,Providence
Purdue Boilermakers,Purdue,Purdue,,,,Purdue,Purdue,purdue,Purdue,Purdue
Quinnipiac Bobcats,Quinnipiac,Quinnipiac,,,,Quinnipiac,Quinnipiac,quinnipiac,Quinnipiac,Quinnipiac
Radford Highlanders,Radford,Radford,,,,Radford,Radford,radford,Radford,Radford
Rhode Island Rams,Rhode Island,RhodeIsland,,,,Rhode Island,Rhode Island,rhode-island,Rhode Island,Rhode Island
Rice University Owls,Rice,Rice,,,,Rice,Rice,rice,Rice,Rice
Richmond Spiders,Richmond,Richmond,,,,Richmond,Richmond,richmond,Richmond,Richmond
Rider Broncs,Rider,Rider,,,,Rider,Rider,rider,Rider,Rider
Robert Morris Colonials,Robert Morris,RobertMorris,,,,Robert Morris,Robert Morris,robert-morris,Robert Morris,Robert Morris
Rutgers Scarlet Knights,Rutgers,Rutgers,,,,Rutgers,Rutgers,rutgers,Rutgers,Rutgers
Sacred Heart Pioneers,Sacred Heart,SacredHeart,,,,Sacred Heart,Sacred Heart,sacred-heart,Sacred Heart,Sacred Heart
Saint Bonaventure Bonnies,St. Bonaventure,St.Bonaventure,,,,St. Bonaventure,St Bonaventure,st-bonaventure,St. Bonaventure,St. Bonaventure
Saint Francis-New York Terriers,St. Francis (NY),St.FrancisNY,,,,St. Francis (NY),St Francis NY,st-francis-ny,St. Francis NY,St. Francis (NY)
Saint Francis-Pennsylvania Red Flash,Saint Francis (PA),St.FrancisPA,,,,Saint Francis (PA),St Francis PA,saint-francis-pa,St. Francis PA,St. Francis (PA)
Saint Johns Red Storm,St. John's (NY),St.Johns,,,,St. John's (NY),St John's,st-johns-ny,St. John's,St. John's
Saint Josephs-Pennsylvania Hawks,St. Joseph's,St.Josephs,,,,Saint Joseph's,St Joseph's PA,saint-josephs,Saint Joseph's,St. Joseph's
Saint Louis Billikens,Saint Louis,SaintLouis,,,,Saint Louis,St Louis,saint-louis,Saint Louis,Saint Louis
Saint Marys College-California Gaels,Saint Mary's,SaintMarysCA,,,,Saint Mary's (CA),St Mary's CA,saint-marys-ca,Saint Mary's,St Mary's
Saint Peters Peacocks,St. Peter's,St.Peter's,,,,Saint Peter's,St Peter's,saint-peters,Saint Peter's,St. Peter's
Sam Houston State Bearkats,Sam Houston State,SamHoustonState,SamHoustonSt,SamHouston,,Sam Houston State,Sam Houston St,sam-houston-state,Sam Houston St.,Sam Houston St.
Samford Bulldogs,Samford,Samford,,,,Samford,Samford,samford,Samford,Samford
San Diego State Aztecs,San Diego State,SanDiegoState,,,,San Diego State,San Diego St,san-diego-state,San Diego St.,San Diego St.
San Diego Toreros,San Diego,SanDiego,,,,San Diego,San Diego,san-diego,San Diego,San Diego
San Francisco Dons,San Francisco,SanFrancisco,,,,San Francisco,San Francisco,san-francisco,San Francisco,San Francisco
San Jose State Spartans,San Jose State,SanJoseState,,,,San Jose State,San Jose St,san-jose-state,San Jose St.,San Jose St.
Santa Clara Broncos,Santa Clara,SantaClara,,,,Santa Clara,Santa Clara,santa-clara,Santa Clara,Santa Clara
Savannah State Tigers,Savannah State,SavannahState,,,,Savannah State,Savannah St,savannah-state,Savannah St.,Savannah St.
Seattle University Red Hawks,Seattle,SeattleU,,,,Seattle,Seattle,seattle,Seattle,Seattle
Seton Hall Pirates,Seton Hall,SetonHall,,,,Seton Hall,Seton Hall,seton-hall,Seton Hall,Seton Hall
Siena College Saints,Siena,Siena,,,,Siena,Siena,siena,Siena,Siena
South Alabama Jaguars,South Alabama,SouthAlabama,,,,South Alabama,South Alabama,south-alabama,South Alabama,South Alabama
South Carolina Gamecocks,South Carolina,SouthCarolina,,,,South Carolina,South Carolina,south-carolina,South Carolina,South Carolina
South Carolina State Bulldogs,South Carolina State,SoCarolinaSt,,,,South Carolina State,S Carolina St,south-carolina-state,South Carolina St.,South Carolina St.
South Carolina-Upstate Spartans,USC Upstate,SCUpstate,USCUpstate,,,South Carolina Upstate,SC Upstate,south-carolina-upstate,USC Upstate,USC Upstate
South Dakota Coyotes,South Dakota,SouthDakota,,,,South Dakota,South Dakota,south-dakota,South Dakota,South Dakota
South Dakota State Jackrabbits,South Dakota State,SouthDakotaState,SouthDakotaSt,,,South Dakota State,S Dakota St,south-dakota-state,South Dakota St.,South Dakota St.
South Florida Bulls,South Florida,SouthFlorida,,,,South Florida,South Florida,south-florida,South Florida,USF
Southeast Missouri State Redhawks,Southeast Missouri State,SEMissouriSt,,,,Southeast Missouri State,SE Missouri St,southeast-missouri-state,Southeast Missouri St.,Southeast Missouri
Southeastern Louisiana Lions,Southeastern Louisiana,SELouisiana,,,,Southeastern Louisiana,SE Louisiana,southeastern-louisiana,Southeastern Louisiana,Southeastern Louisiana
Southern California Trojans,USC,USC,,,,Southern California,USC,southern-california,USC,USC
Southern Illinois Salukis,Southern Illinois,SoIllinois,,,,Southern Illinois,S Illinois,southern-illinois,Southern Illinois,Southern Illinois
Southern Illinois-Edwardsville Cougars,SIU-Edwardsville,SIUEdwardsville,,,,Southern Illinois-Edwardsville,SIUE,southern-illinois-edwardsville,SIU Edwardsville,SIU Edwardsville
Southern Methodist Mustangs,SMU,SMU,,,,Southern Methodist,SMU,southern-methodist,SMU,SMU
Southern Mississippi Golden Eagles,Southern Miss,SouthernMiss,SoMississippi,,,Southern Mississippi,Southern Miss,southern-mississippi,Southern Miss,Southern Miss
Southern University A&M Jaguars,Southern,Southern,,,,Southern,Southern Univ,southern,Southern,Southern
Southern Utah Thunderbirds,Southern Utah,SouthernUtah,,,,Southern Utah,Southern Utah,southern-utah,Southern Utah,Southern Utah
Stanford Cardinal,Stanford,Stanford,,,,Stanford,Stanford,stanford,Stanford,Stanford
Stephen F. Austin State Lumberjacks,Stephen F. Austin,StephenAustin,StephenF.Austin,,,Stephen F. Austin,SF Austin,stephen-f-austin,Stephen F. Austin,Stephen F. Austin
Stetson Hatters,Stetson,Stetson,,,,Stetson,Stetson,stetson,Stetson,Stetson
Stony Brook Seawolves,Stony Brook,StonyBrook,,,,Stony Brook,Stony Brook,stony-brook,Stony Brook,Stony Brook
Syracuse Orange,Syracuse,Syracuse,,,,Syracuse,Syracuse,syracuse,Syracuse,Syracuse
Temple Owls,Temple,Temple,,,,Temple,Temple,temple,Temple,Temple
Tennessee State Tigers,Tennessee State,TennesseeState,,,,Tennessee State,Tennessee St,tennessee-state,Tennessee St.,Tennessee St.
Tennessee Tech Golden Eagles,Tennessee Tech,TennesseeTech,,,,Tennessee Tech,Tennessee Tech,tennessee-tech,Tennessee Tech,Tennessee Tech
Tennessee Volunteers,Tennessee,Tennessee,,,,Tennessee,Tennessee,tennessee,Tennessee,Tennessee
Tennessee-Chattanooga Moccasins,Chattanooga,TennesseeChat,,,,Chattanooga,Chattanooga,chattanooga,Chattanooga,Chattanooga
Tennessee-Martin Skyhawks,UT-Martin,TennMartin,,,,Tennessee-Martin,TN Martin,tennessee-martin,Tennessee Martin,UT Martin
Texas A&M Aggies,Texas A&M,TexasA&M,,,,Texas A&M,Texas A&M,texas-am,Texas A&M,Texas A&M
Texas A&M-Corpus Christi Islanders,Texas A&M-Corpus Christi,TexasA&MCorpus,,,,Texas A&M-Corpus Christi,TAM C. Christi,texas-am-corpus-christi,Texas A&M Corpus Chris,TAMU Corpus Christi
Texas Christian Horned Frogs,TCU,TCU,,,,Texas Christian,TCU,texas-christian,TCU,TCU
Texas Longhorns,Texas,Texas,,,,Texas,Texas,texas,Texas,Texas
Texas Rio Grande Vaqueros,Texas-Rio Grande Valley,UTRioGrandeValley,TXPanAmerican,,,Texas-Rio Grande Valley,UTRGV,texas-pan-american,UT Rio Grande Valley,UTRGV
Texas Southern Tigers,Texas Southern,TexasSouthern,,,,Texas Southern,TX Southern,texas-southern,Texas Southern,Texas Southern
Texas State Bobcats,Texas State,TexasState,,,,Texas State,Texas St,texas-state,Texas St.,Texas St.
Texas Tech Red Raiders,Texas Tech,TexasTech,,,,Texas Tech,Texas Tech,texas-tech,Texas Tech,Texas Tech
Texas-Arlington Mavericks,Texas-Arlington,UTArlington,,,,Texas-Arlington,UT Arlington,texas-arlington,UT Arlington,UT Arlington
Texas-El Paso Miners,UTEP,UTEP,,,,Texas-El Paso,UTEP,texas-el-paso,UTEP,UTEP
Texas-San Antonio Roadrunners,UTSA,TexasSanAntonio,TexSanAntonio,,,Texas-San Antonio,UT San Antonio,texas-san-antonio,UTSA,UTSA
Toledo Rockets,Toledo,Toledo,,,,Toledo,Toledo,toledo,Toledo,Toledo
Towson Tigers,Towson,Towson,,,,Towson,Towson,towson,Towson,Towson
Troy Trojans,Troy,Troy,,,,Troy,Troy,troy,Troy,Troy
Tulane Green Wave,Tulane,Tulane,,,,Tulane,Tulane,tulane,Tulane,Tulane
Tulsa Golden Hurricane,Tulsa,Tulsa,,,,Tulsa,Tulsa,tulsa,Tulsa,Tulsa
UCLA Bruins,UCLA,UCLA,,,,UCLA,UCLA,ucla,UCLA,UCLA
UNLV Rebels,UNLV,UNLV,,,,Nevada-Las Vegas,UNLV,nevada-las-vegas,UNLV,UNLV
Utah State Aggies,Utah State,UtahState,,,,Utah State,Utah St,utah-state,Utah St.,Utah St.
Utah Utes,Utah,UtahU,,,,Utah,Utah,utah,Utah,Utah
Utah Valley Wolverines,Utah Valley,UtahValley,UtahValleySt,,,Utah Valley,Utah Valley,utah-valley,Utah Valley,Utah Valley
Valparaiso Crusaders,Valparaiso,Valparaiso,,,,Valparaiso,Valparaiso,valparaiso,Valparaiso,Valparaiso
Vanderbilt Commodores,Vanderbilt,Vanderbilt,,,,Vanderbilt,Vanderbilt,vanderbilt,Vanderbilt,Vanderbilt
Vermont Catamounts,Vermont,Vermont,,,,Vermont,Vermont,vermont,Vermont,Vermont
Villanova Wildcats,Villanova,Villanova,,,,Villanova,Villanova,villanova,Villanova,Villanova
Virginia Cavaliers,Virginia,Virginia,,,,Virginia,Virginia,virginia,Virginia,Virginia
Virginia Commonwealth Rams,VCU,VaCommonwealth,,,,Virginia Commonwealth,VA Commonwealth,virginia-commonwealth,VCU,VCU
Virginia Military Keydets,VMI,VMI,,,,Virginia Military Institute,VMI,virginia-military-institute,VMI,VMI
Virginia Tech Hokies,Virginia Tech,VirginiaTech,,,,Virginia Tech,Virginia Tech,virginia-tech,Virginia Tech,Virginia Tech
Wagner Seahawks,Wagner,Wagner,,,,Wagner,Wagner,wagner,Wagner,Wagner
Wake Forest Demon Deacons,Wake Forest,WakeForest,,,,Wake Forest,Wake Forest,wake-forest,Wake Forest,Wake Forest
Washington Huskies,Washington,WashingtonU,,,,Washington,Washington,washington,Washington,Washington
Washington State Cougars,Washington State,WashingtonState,,,,Washington State,Washington St,washington-state,Washington St.,Washington St.
Weber State Wildcats,Weber State,WeberState,,,,Weber State,Weber St,weber-state,Weber St.,Weber St.
West Virginia Mountaineers,West Virginia,WestVirginia,,,,West Virginia,West Virginia,west-virginia,West Virginia,West Virginia
Western Carolina Catamounts,Western Carolina,WesternCarolina,,,,Western Carolina,W Carolina,western-carolina,Western Carolina,Western Carolina
Western Illinois Leathernecks,Western Illinois,WesternIllinois,,,,Western Illinois,W Illinois,western-illinois,Western Illinois,Western Illinois
Western Kentucky Hilltoppers,Western Kentucky,WesternKentucky,,,,Western Kentucky,WKU,western-kentucky,Western Kentucky,Western Kentucky
Western Michigan Broncos,Western Michigan,WesternMichigan,,,,Western Michigan,W Michigan,western-michigan,Western Michigan,Western Michigan
Wichita State Shockers,Wichita State,WichitaState, WichitaState,,,Wichita State,Wichita St,wichita-state,Wichita St.,Wichita St.
William & Mary Tribe,William & Mary,William&Mary,,,,William & Mary,William & Mary,william-mary,William & Mary,William & Mary
Winthrop Eagles,Winthrop,Winthrop,,,,Winthrop,Winthrop,winthrop,Winthrop,Winthrop
Wisconsin Badgers,Wisconsin,Wisconsin,,,,Wisconsin,Wisconsin,wisconsin,Wisconsin,Wisconsin
Wisconsin-Green Bay Phoenix,Green Bay,WiscGreenBay,,,,Green Bay,WI Green Bay,green-bay,Green Bay,Green Bay
Wisconsin-Milwaukee Panthers,Milwaukee,WiscMilwaukee,,,,Milwaukee,WI Milwaukee,milwaukee,Milwaukee,Milwaukee
Wofford Terriers,Wofford,Wofford,,,,Wofford,Wofford,wofford,Wofford,Wofford
Wright State Raiders,Wright State,WrightState,,,,Wright State,Wright St,wright-state,Wright St.,Wright St.
Wyoming Cowboys,Wyoming,Wyoming,,,,Wyoming,Wyoming,wyoming,Wyoming,Wyoming
Xavier Musketeers,Xavier,Xavier,,,,Xavier,Xavier,xavier,Xavier,Xavier
Yale Bulldogs,Yale,Yale,,,,Yale,Yale,yale,Yale,Yale
Youngstown State Penguins,Youngstown State,YoungstownState,,,,Youngstown State,Youngstown St,youngstown-state,Youngstown St.,Youngstown St.
